Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5073325,429,HRB,KMG,2011-12-28,18:35:00,128,134,[F,Y],51,31
Relation:couple,coflycnt
85848852,1,0.34965035,0.34965035,0.34965035,0.43191411982419203
85861371,1,0.90604025,0.093959734,0.90604025,0.47130166104117055
86258802,1,0.9417178,0.058282208,0.9417178,0.9417177973333333
88695491,1,0.96062994,0.039370079,0.96062994,0.03937006633333329
95253057,1,0.089552239,0.91044778,0.089552239,0.7468905516666664
95253058,1,0.085820898,0.91417909,0.085820898,0.5204502969721794
95253060,1,0.082089551,0.082089551,0.082089551,0.4779112224449604
95630276,1,0.39928058,0.60071945,0.39928058,0.6393179180757744
95630277,1,0.41726619,0.58273381,0.58273381,0.6251689545829631
95630278,1,0.44604316,0.44604316,0.55395681,0.6371266831097382
95630279,1,0.3705036,0.3705036,0.3705036,0.7001744970115268
95630280,1,0.38129497,0.38129497,0.38129497,0.588361280542748
95630281,1,0.4208633,0.57913667,0.57913667,0.6561886796055629
95630282,1,0.39568347,0.60431653,0.39568347,0.5938313414367394
95630283,1,0.37410071,0.62589926,0.37410071,0.6115765635674718
95630284,1,0.37769786,0.62230217,0.37769786,0.6186776753924493
95630285,1,0.59712231,0.40287769,0.40287769,0.6181078274669985
95630286,1,0.61151081,0.38848922,0.38848922,0.6746410291052176
95689803,1,0.69064748,0.30935252,0.69064748,0.7639929547501015
2106697,0,-1.0,-1.0,-1.0,-1.0
6598750,0,-1.0,-1.0,-1.0,-1.0
85291012,0,-1.0,-1.0,-1.0,-1.0
96060832,0,-1.0,-1.0,-1.0,-1.0
96060833,0,-1.0,-1.0,-1.0,-1.0
96060834,0,-1.0,-1.0,-1.0,-1.0
96060835,0,-1.0,-1.0,-1.0,-1.0
96060836,0,-1.0,-1.0,-1.0,-1.0
96060837,0,-1.0,-1.0,-1.0,-1.0
96060838,0,-1.0,-1.0,-1.0,-1.0
96060839,0,-1.0,-1.0,-1.0,-1.0
96060840,0,-1.0,-1.0,-1.0,-1.0
96060841,0,-1.0,-1.0,-1.0,-1.0
96060842,0,-1.0,-1.0,-1.0,-1.0
96060843,0,-1.0,-1.0,-1.0,-1.0
96060844,0,-1.0,-1.0,-1.0,-1.0
96060845,0,-1.0,-1.0,-1.0,-1.0
96060848,0,-1.0,-1.0,-1.0,-1.0
96060849,0,-1.0,-1.0,-1.0,-1.0
96060850,0,-1.0,-1.0,-1.0,-1.0
96060851,0,-1.0,-1.0,-1.0,-1.0
96060852,0,-1.0,-1.0,-1.0,-1.0
96060853,0,-1.0,-1.0,-1.0,-1.0
96060854,0,-1.0,-1.0,-1.0,-1.0
96060855,0,-1.0,-1.0,-1.0,-1.0
96060856,0,-1.0,-1.0,-1.0,-1.0
96060857,0,-1.0,-1.0,-1.0,-1.0
96060858,0,-1.0,-1.0,-1.0,-1.0
96060859,0,-1.0,-1.0,-1.0,-1.0
96060860,0,-1.0,-1.0,-1.0,-1.0
96060861,0,-1.0,-1.0,-1.0,-1.0
Allocation:pid,cabin,row,col,new_rate
53511479,3,33,5,0.6769578229871076
59345091,3,33,6,0.9248120246666663
4443926,3,44,1,0.7127236718185344
39692340,3,34,6,0.7102030604317231
88695491,3,40,6,0.9606299336666656
8468364,3,31,5,0.5656744935153717
95253057,3,45,4,0.9028429299523807
95253058,3,45,3,0.9255419292857141
2059773,3,43,6,0.5798861340241881
95253060,3,45,2,0.9375663356111111
72045771,3,46,1,0.6728744332639862
6598750,3,37,4,-1.0
33359218,3,51,1,0.7230221121742544
15401822,3,38,1,0.9966887272333175
13163114,3,32,1,0.7033659150898677
13163115,3,32,2,0.6966769349632562
4750002,3,48,3,0.51863438
59300187,3,34,4,0.7676056499999996
66318856,3,45,6,0.7338533689642767
15136340,3,47,3,0.5657779175927099
9284996,3,36,4,0.5762564804013377
66318855,3,45,5,0.7645622600468485
59469104,3,36,3,0.72448981
85291012,3,37,5,-1.0
