Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086733,118,HAK,KHN,2011-12-30,07:40:00,160,164,[F,Y],28,3
Relation:couple,coflycnt
54541039,54541040,1
44399505,65326720,2
14809540,15358764,2
44399505,45324100,3
55625317,55625318,1
3016280,21723946,4
45324100,65326720,2
7947435,7947436,3
40641670,40641671,4
66113191,66113192,3
15575881,45324100,3
12392010,16728736,6
15575881,65326720,2
5814760,64898722,1
15575881,44399505,3
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
4855395,3,18,6,0.5486398154598814
65413749,3,16,5,0.6671309461589453
79092430,3,5,3,0.6094733990334424
75861276,3,5,1,0.5274221201036013
5235122,3,16,1,0.5933008048088617
51075082,3,18,1,0.7063684776573247
791911,1,2,2,0.6289071697624136
5814760,3,4,2,0.8389442692865678
64131673,3,20,5,0.85393259
95912401,3,21,5,-1.0
95912400,3,21,4,-1.0
63834677,3,10,1,0.7223587450855165
95912403,3,22,2,-1.0
45324100,3,5,6,0.8364312747916665
95912402,3,22,1,-1.0
95912404,3,23,2,-1.0
30253984,3,25,4,0.5836963920804508
95912392,3,15,6,-1.0
95912393,3,15,4,-1.0
95912394,3,15,5,-1.0
95912395,3,15,3,-1.0
95912396,3,19,4,-1.0
95912397,3,20,3,-1.0
95912398,3,20,4,-1.0
95912399,3,21,3,-1.0
3016280,3,6,1,0.8075057975022144
